top;id;keywords;keywordsSimScore;revenue;revenueSimScore;numEmployees;employeesSimScore;totalScore
1;7821c68de6bbf24ba61cf2cced25a475190328d4;[Computer+science, Electronics, Software];0.75;96000.0;0.989258264569155;0.0;0.9999617865549815;0.9488990770454026
2;4e11a2174baeccd6a7a6946d5caf25b8475407fa;[Computer+science, Electronics, Software];0.75;56000.0;0.8879869002224522;0.0;0.9999617865549815;0.9387719406107322
3;64a6883e38d6e5e362744ac8a733eec4b32fdb97;[Computer+science, Electronics, Software];0.75;153000.0;0.8666691849448793;3.0;0.9999847146219926;0.9366562187298827
4;dd15741fc7689fdb1c4fe7e2975d2a232c819687;[Computer, Computer+science, Electronics, Software];0.6;101000.0;0.9973036805236135;1.0;0.9999694292439852;0.919708968523151
5;0e9c05f6726447ab326c48b92d6838764d3bdfb6;[Design, Computer+science, Electronics, Software];0.6;108000.0;0.9786319140183762;1.0;0.9999694292439852;0.9178417918726273
6;c4d2d5060b40ae3e8320de7b6cf0385bc8bdb6d4;[Data+center, Computer, Computer+science, Electronics, E-commerce, Software];0.6666666666666666;30000.0;0.827788761154854;1.0;0.9999694292439852;0.9160908099196083
7;afd0147f2a88a754c13ebd1ecbc7dc3e603e9c87;[Computer+science, Electronics, E-commerce, Telecommunications];0.6;82000.0;0.9525627454359351;2.0;0.9999770719329889;0.9152402248966858
8;72729e5ad3966a39d7c948687e9328e10409b1ba;[Computer+science, Electronics, Hardware, Software];0.6;80000.0;0.9474328437332346;0.0;0.9999617865549815;0.9147165349618105
9;f262c31f141ec9634faa00c7e73998068d02c72e;[Industry, Computer+science, Electronics, Software];0.6;123000.0;0.9397897441782952;2.0;0.9999770719329889;0.9139629247709218
10;03500ecd97941b3bfd9d7770592efede100b871b;[Computer, Computer+science, Electronics, Software];0.6;68000.0;0.9172284088904017;1.0;0.9999694292439852;0.9117014413598298
11;32a7403c14878eebcd11b20fb07167a1d9b28839;[Mobile+phone, Computer+science, Electronics, Software];0.6;67000.0;0.9147552680672155;1.0;0.9999694292439852;0.9114541272775112
12;004e3d30a1a4ca7618917354e63b91d8296713c5;[Computer+science, Electronics, E-commerce, Information+systems];0.6;66000.0;0.9122887956217988;1.0;0.9999694292439852;0.9112074800329695
13;d446d4cdd3f186650d443cb08eaff77a686909a1;[Computer, Computer+science, Electronics, Software];0.6;64000.0;0.9073757839924461;1.0;0.9999694292439852;0.9107161788700342
14;4aa2b20497440c60d24436bf3cd2212100944f40;[Computer+science, Electronics, E-commerce, Electronic+cigarette];0.6;139000.0;0.9000558314526246;1.0;0.9999694292439852;0.909984183616052
15;4ebdb4ddbeb56724da917a060643a46b41558565;[Computer+science, Electronics, Hardware, Software];0.6;60000.0;0.8976289933844437;1.0;0.9999694292439852;0.909741499809234
16;2d95ff870a0e12a1584bf3626077126761dc015d;[Computer+science, Electronics, Hardware, Software];0.6;140000.0;0.8976289933844436;1.0;0.9999694292439852;0.909741499809234
17;729f94ed258d9f8446f924cc6b3bd3bb025d6371;[Supermarket, Computer+science, Electronics, E-commerce, Software, Internet];0.6666666666666666;0.0;0.7633824644084446;6.0;0.9999923573109963;0.9096662298918752
18;c0371252afcf9bd3dad9c2f18c864fce280b5d96;[Data+processing, Computer+science, Electronics, E-commerce, Hardware, Software];0.6666666666666666;0.0;0.7633824644084446;0.0;0.9999617865549815;0.9096448303626649
19;8d0c91ee4ade0ff99d1cef2a7ded5157f812e0b2;[Computer+science, Electronics, Software, Telecommunications];0.6;142000.0;0.8927949301968802;1.0;0.9999694292439852;0.9092580934904777
20;67ff3b4efc62a8de7ad76f1c2b962d8d9664e289;[Design, Computer+network, Computer, Computer+science, Electronics, E-commerce, Software];0.5714285714285714;123000.0;0.9397897441782952;3.0;0.9999847146219926;0.9082539889389385
