top;id;keywords;keywordsSimScore;revenue;revenueSimScore;numEmployees;employeesSimScore;totalScore
1;7821c68de6bbf24ba61cf2cced25a475190328d4;[Computer+science, Electronics, Software];0.75;96000.0;0.9890845872942203;0.0;0.9999617865549815;2.0640463738492016
2;dd15741fc7689fdb1c4fe7e2975d2a232c819687;[Computer, Computer+science, Electronics, Software];0.6;101000.0;0.997259905203178;1.0;0.9999694292439852;2.0572293344471633
3;6814d36d582a662e40ea2f233ab21ceb5bff3c38;[Computer, Computer+science, Electronics, Software, Internet];0.5;100000.0;1.0;1.0;0.9999694292439852;2.049969429243985
4;6814d36d582a662e40ea2f233ab21ceb5bff3c38;[Computer, Computer+science, Electronics, Software, Internet];0.5;100000.0;1.0;1.0;0.9999694292439852;2.049969429243985
5;3abcc8ccfa600a033aba96ec2ec493f09f625721;[Technology, Computer+science, Electronics, Hardware, Software];0.5;101000.0;0.997259905203178;1.0;0.9999694292439852;2.047229334447163
6;0472b5b47c58a6a4280f40c797333f2feb88bca8;[Electronics, Software];0.5;101000.0;0.997259905203178;0.0;0.9999617865549815;2.0472216917581596
7;3d0eba57b0577fee539a4708ffa35aa7aeb14f89;[Computer+science, Software];0.5;98000.0;0.9945273185258514;1.0;0.9999694292439852;2.044496747769837
8;774f6f00831249ae375654b1a0b4e3855549eb8b;[Design, Computer+science, Electronics, Information+systems, Software, Telecommunications];0.42857142857142855;100000.0;1.0;1.0;0.9999694292439852;2.042826572101128
9;7dff53cc0c2cd78cadab12e54cdb1bb502828887;[Computer+science, Software];0.5;97000.0;0.9918022193950613;1.0;0.9999694292439852;2.0417716486390467
10;dd15741fc7689fdb1c4fe7e2975d2a232c819687;[Computer, Computer+science, Electronics, Software];0.6;101000.0;0.997259905203178;1.0;0.9999694292439852;2.0572293344471633
11;3abcc8ccfa600a033aba96ec2ec493f09f625721;[Technology, Computer+science, Electronics, Hardware, Software];0.5;101000.0;0.997259905203178;1.0;0.9999694292439852;2.047229334447163
12;774f6f00831249ae375654b1a0b4e3855549eb8b;[Design, Computer+science, Electronics, Information+systems, Software, Telecommunications];0.42857142857142855;100000.0;1.0;1.0;0.9999694292439852;2.042826572101128
13;0472b5b47c58a6a4280f40c797333f2feb88bca8;[Electronics, Software];0.5;101000.0;0.997259905203178;0.0;0.9999617865549815;2.0472216917581596
14;1b00996c8da91613952dea2b538a6f4a130d29c5;[Telephone, Computer+science, Electronics, Hardware, Software, Maintenance];0.42857142857142855;99000.0;0.9972599052031779;1.0;0.9999694292439852;2.040086477304306
15;7b5e968e6ad19ba6982095e8bcf18a2577cea77d;[Trade, Computer+science, Electronics, Hardware, Software];0.5;104000.0;0.9890845872942203;1.0;0.9999694292439852;2.0390540165382056
16;e5187e19d06686607f87d463c6168ffb7a16aeec;[Computer+science, Electronics];0.5;96000.0;0.9890845872942203;1.0;0.9999694292439852;2.0390540165382056
17;5523cef274b195f27becf5d79d1c5ec166ed2f37;[Computer+science, Electronics];0.5;96000.0;0.9890845872942203;12.0;0.9999465011769741;2.0390310884711944
18;0e9c05f6726447ab326c48b92d6838764d3bdfb6;[Design, Computer+science, Electronics, Software];0.6;108000.0;0.9782883208229781;1.0;0.9999694292439852;2.0382577500669634
19;eea92ba7d1b2fda78f07020998eafda3729d6933;[Industrial+design, Fiber+optic, Computer+science, Electronics, Information+systems, Software, Internet];375;100000.0;1.0;1.0;0.9999694292439852;2.0374694292439854
20;1b00996c8da91613952dea2b538a6f4a130d29c5;[Telephone, Computer+science, Electronics, Hardware, Software, Maintenance];0.42857142857142855;99000.0;0.9972599052031779;1.0;0.9999694292439852;2.040086477304306
