top;id;keywords;keywordsSimScore;revenue;revenueSimScore;numEmployees;employeesSimScore;totalScore
1;7821c68de6bbf24ba61cf2cced25a475190328d4;[Computer+science, Electronics, Software];0.75;96000.0;0.9890845872942203;0.0;0.9999617865549815;2.214046373849202
2;dd15741fc7689fdb1c4fe7e2975d2a232c819687;[Computer, Computer+science, Electronics, Software];0.6;101000.0;0.997259905203178;1.0;0.9999694292439852;2.1772293344471634
3;0e9c05f6726447ab326c48b92d6838764d3bdfb6;[Design, Computer+science, Electronics, Software];0.6;108000.0;0.9782883208229781;1.0;0.9999694292439852;2.1582577500669635
4;6814d36d582a662e40ea2f233ab21ceb5bff3c38;[Computer, Computer+science, Electronics, Software, Internet];0.5;100000.0;1.0;1.0;0.9999694292439852;2.1499694292439853
5;6814d36d582a662e40ea2f233ab21ceb5bff3c38;[Computer, Computer+science, Electronics, Software, Internet];0.5;100000.0;1.0;1.0;0.9999694292439852;2.1499694292439853
6;3abcc8ccfa600a033aba96ec2ec493f09f625721;[Technology, Computer+science, Electronics, Hardware, Software];0.5;101000.0;0.997259905203178;1.0;0.9999694292439852;2.147229334447163
7;0472b5b47c58a6a4280f40c797333f2feb88bca8;[Electronics, Software];0.5;101000.0;0.997259905203178;0.0;0.9999617865549815;2.1472216917581592
8;3d0eba57b0577fee539a4708ffa35aa7aeb14f89;[Computer+science, Software];0.5;98000.0;0.9945273185258514;1.0;0.9999694292439852;2.1444967477698365
9;7dff53cc0c2cd78cadab12e54cdb1bb502828887;[Computer+science, Software];0.5;97000.0;0.9918022193950613;1.0;0.9999694292439852;2.1417716486390463
10;7b5e968e6ad19ba6982095e8bcf18a2577cea77d;[Trade, Computer+science, Electronics, Hardware, Software];0.5;104000.0;0.9890845872942203;1.0;0.9999694292439852;2.1390540165382057
11;e5187e19d06686607f87d463c6168ffb7a16aeec;[Computer+science, Electronics];0.5;96000.0;0.9890845872942203;1.0;0.9999694292439852;2.1390540165382057
12;5523cef274b195f27becf5d79d1c5ec166ed2f37;[Computer+science, Electronics];0.5;96000.0;0.9890845872942203;12.0;0.9999465011769741;2.1390310884711945
13;afd0147f2a88a754c13ebd1ecbc7dc3e603e9c87;[Computer+science, Electronics, E-commerce, Telecommunications];0.6;82000.0;0.9518104195876047;2.0;0.9999770719329889;2.1317874915205937
14;977b6967007b8254e025dc5536c5e78c1e1974ad;[Data+processing, Design, Computer+science, Electronics, Software];0.5;107000.0;0.9809762888478559;2.0;0.9999770719329889;2.1309533607808446
15;9895dfb83fe0052c64aee1f23a0a1c823c4c9a33;[Computer+science, E-commerce, Hardware, Software, Internet];0.5;107000.0;0.9809762888478559;1.0;0.9999694292439852;2.130945718091841
16;dd15741fc7689fdb1c4fe7e2975d2a232c819687;[Computer, Computer+science, Electronics, Software];0.6;101000.0;0.997259905203178;1.0;0.9999694292439852;2.1772293344471634
17;774f6f00831249ae375654b1a0b4e3855549eb8b;[Design, Computer+science, Electronics, Information+systems, Software, Telecommunications];0.42857142857142855;100000.0;1.0;1.0;0.9999694292439852;2.128540857815414
18;baf7c5b390cc562ef550757a9715670b37c07a96;[Computer+science, Software];0.5;108000.0;0.9782883208229781;4.0;0.9999923573109963;2.1282806781339745
19;f75720a09d0f68629ffa52ffd32e11ee98622c34;[Computer+science, Software];0.5;108000.0;0.9782883208229781;2.0;0.9999770719329889;2.128265392755967
20;72729e5ad3966a39d7c948687e9328e10409b1ba;[Computer+science, Electronics, Hardware, Software];0.6;80000.0;0.946601464337426;0.0;0.9999617865549815;2.1265632508924073
